audio,accuracy_avg,fluency_avg,prosody_avg,count
00174478-41df-41e8-9d0d-08256c16d87b---06fa6962-a03a-4d9d-b8f8-c1a6caaf194.wav,3.6,3.6,3.4,5
02f474e2-0c2e-4829-bf96-42a65173bcdc---b050a164-92e3-4c54-a4de-5aff978c12a.wav,2.8,3.2,3.0,5
06128238-26e2-4ffc-b124-a44c27aade61---5e1919a8-72ea-4585-935a-270bdc9c490.wav,3.0,2.8,2.8,5
0da366a3-a684-4c34-9109-11fdfc63227c---68bc2586-0cbd-4669-aa68-094aebd76b7.wav,4.6,4.0,4.8,5
162bf8af-521d-434b-9f93-89e16add007a---a446c11c-8aad-4769-a2bd-a73905ab726.wav,3.2,2.6,2.6,5
197b043a-7182-4de2-9a46-ce84fd3f5bd1---46ca6809-80ae-4412-b6e2-1fdf4ea2b98.wav,2.8,3.6,3.0,5
19b9a149-65ec-4556-bf41-7096820abfbe---0b4450f1-a4d4-4edd-bd77-3d2ebbe111b.wav,2.6,2.4,2.6,5
1abdb5b5-298d-49c1-ab9f-29f6f11e0a9d---b481a3b7-5d1c-4518-b64e-7193dfded9a.wav,3.4,3.6,3.4,5
2090115f-ca26-420e-81c3-28ad672f8c42---e6280ff5-183a-4087-8e69-8ee96c6977a.wav,3.0,3.0,3.0,5
245ec3f7-101a-4eb0-a848-f27fb24989f1---7ff06bb8-8fda-487c-903a-1c622159998.wav,2.6,3.4,3.4,5
27a83836-b0b9-45e0-b92a-20e52437029c---1a1ea112-8f77-4df4-9c3e-d6e3e233179.wav,3.8,3.2,3.6,5
2d800dcc-8dcc-4812-a5e9-37a6019627b4---5b88fa6b-a831-4881-9836-3cf4d57d0be.wav,2.8,2.2,2.2,5
2d800dcc-8dcc-4812-a5e9-37a6019627b4---c6c78662-8d13-43d1-b55d-2b2b04673aa.wav,2.6,1.6,2.4,5
3bf230a8-3aa3-4192-9690-1e371135b688---c8884b7f-687a-4569-8b5e-923cb159b3c.wav,1.6,2.6,2.8,5
40080ce6-1c07-41c3-b54f-9d963a2c4139---f7c9d5d9-45e9-4848-9367-f1060096554.wav,3.4,2.0,3.6,5
4183af53-2541-4cae-9186-09e39e7f3d62---19793380-3621-40c3-91e1-5841503448a.wav,2.4,2.0,2.6,5
4bdfc385-e6ed-4f32-8bfb-e5c8b67ebe8b---7a20ecff-e425-446c-9584-db16789f2a2.wav,3.0,3.2,3.4,5
4bdfc385-e6ed-4f32-8bfb-e5c8b67ebe8b---e940bf9b-afc5-436a-a389-8f1b23ae377.wav,3.6,3.8,3.8,5
516be824-f565-43b1-ba43-98bbfd69109f---2b1f4d68-3935-4960-b815-cc0815e676b.wav,2.8,2.8,3.4,5
5501c9b5-8232-425d-8e81-9b4e174beecd---53566d72-6919-47af-af3f-ccf9a8ec6f2.wav,4.0,3.8,3.6,5
5f97bbc9-c953-4143-a4fe-09006ba4c74a---92b07602-30f4-4899-831b-18091ea6063.wav,3.6,3.4,3.4,5
6f3c7ed4-9c3e-4d3b-abfd-e84f954da44c---7e2036da-696c-4735-ac64-7de1d5d92b4.wav,4.6,4.0,3.6,5
7348cdce-637d-48a9-97fa-1a39b4fa1a7b---cab063eb-9e34-4fec-99e7-42db0e2faf9.wav,3.8,3.8,3.2,5
7348cdce-637d-48a9-97fa-1a39b4fa1a7b---d0067603-7ef3-46ee-bf6c-5e32ab58b42.wav,4.2,3.0,3.4,5
789f6213-bc41-4afd-b8c6-1938a924f16d---7fa24760-bf42-4c1e-ba20-a26e6c42110.wav,2.4,2.4,2.8,5
7b34d27c-a0dc-47ae-a8bd-956f02995342---54d46d25-d915-4cd6-b205-35cc9758db1.wav,3.4,3.2,3.0,5
7b34d27c-a0dc-47ae-a8bd-956f02995342---64a6c36d-62db-4123-acf8-f882c18d1c4.wav,2.6,3.6,3.6,5
7b34d27c-a0dc-47ae-a8bd-956f02995342---70f4dd53-bae8-40aa-9ade-9296db1707a.wav,2.6,3.0,3.2,5
7b34d27c-a0dc-47ae-a8bd-956f02995342---b854e45b-358b-491a-b015-c2d7cc207dc.wav,2.8,2.4,2.6,5
7bbeebc3-7acf-489e-88a4-f50a7013821d---b2df9c8f-5102-49ed-8d4a-72ab02c6bb0.wav,2.6,3.0,2.8,5
81e79f7b-8307-4a89-8962-620518182822---a9c5bacd-c3bb-4503-ab05-757f7594ca3.wav,3.4,3.2,3.4,5
83dd99e4-30ff-4cd8-82f4-88f190c7b25d---d11f0031-97e7-4f6a-b138-277fc6a0b94.wav,4.6,3.8,4.4,5
957ae206-f481-4d95-8331-975d9e973a21---0bc0695c-10d9-406c-a7f6-8112ab87068.wav,1.6,2.0,2.0,5
a45d15c7-a59c-41ca-8b97-e452bf5967c3---fdfcc07f-b7b3-4f7c-be04-859818c4849.wav,4.0,4.0,4.2,5
b256e636-2314-4978-bfa5-e0872b6a45b0---4f46f92a-b043-40d6-a015-ca3e4235ea4.wav,3.8,4.2,4.2,5
b5607279-05ef-42d4-bccd-95d666e21ea7---2abe4804-7a52-4433-a68a-d02b15452dd.wav,4.4,4.4,3.8,5
b7fc44a4-a030-48d0-9199-b08957ce298e---ab535313-53da-4106-8a87-689302f4007.wav,4.8,4.0,4.6,5
bcee2ca5-8483-408a-93e3-50528f6da939---24ee06c2-5293-49ee-9e5e-fbad25b241f.wav,2.8,1.8,2.2,5
bcee2ca5-8483-408a-93e3-50528f6da939---5fbdf9ec-5c7d-4536-b58f-012c983929f.wav,2.2,1.8,2.2,5
bf99dc97-fa1c-47be-8334-617d99367edd---4da44554-c753-440d-bd47-872668f81a5.wav,2.6,3.0,1.6,5
bf99dc97-fa1c-47be-8334-617d99367edd---d118f4b4-7f39-4195-b77d-fe00ac8201d.wav,2.6,2.6,1.8,5
c5010521-415b-4f54-9e81-f38e27054d9c---4b7206e4-78b0-4aba-83b0-5c7da1c0552.wav,3.6,3.8,3.4,5
cbfa6fe0-f25d-4b44-816e-79938af0c780---540a6466-10c4-494e-9004-2a65e3ae33a.wav,2.2,1.4,1.8,5
d0c1b879-0160-4fde-ae4a-9934dc3df78b---9812ec6a-2d2f-4627-b15c-718c59d24e0.wav,3.4,3.8,3.4,5
d13f6dbb-3a1f-4b05-b16d-9fa7b33763f7---74799c67-9cb5-4320-b72f-42dccfb8963.wav,3.0,2.8,3.2,5
f1ab2663-fe7a-48d0-b504-043a718d8906---71e838e8-b508-4f2a-aa33-42a49b78eff.wav,3.4,3.6,3.6,5
f353a88e-cfcb-44d7-a23b-f6c26c9ea908---a5d60c2b-f9fe-4e81-9e83-0c9e7678254.wav,3.6,3.4,3.6,5
fc73fa8c-ba24-455f-8089-25b039544b56---10d4673f-aa62-4414-b15d-f0557863abd.wav,4.0,4.4,4.0,5
fc73fa8c-ba24-455f-8089-25b039544b56---ba1d3b80-847d-47fb-aa10-497635abed4.wav,3.8,4.4,4.0,5
fe3d2889-9580-4a1c-9766-42f89942265e---e04cfbe6-34e1-4908-aede-9aef0319f59.wav,3.2,2.8,2.8,5
